GameName,Price,Rating,UserCounts,ConsoleCounts,CostCategory
3D Bat Attack,40,4,22,22,Average
3-D Bowling,31,3.3399999999999999,20,20,Average
3D Deathchase,39,3.46,21,21,Average
3D Defence,43,3.75,22,22,Average
3D Defenda,36,3.5699999999999998,21,21,Average
3D Grand Prix Championship,40,4.0499999999999998,20,20,Average
3D Labyrinth,35,3.8399999999999999,24,24,Average
3D Lunattack,39,4.3200000000000003,69,69,Average
3D Maze,41,3.46,25,25,Average
3D Maze of Gold,40,4.5300000000000002,22,22,Average
3D Mission Shooting: Finalist,44,3.75,21,21,Average
3D Monster Chase,38,4.7599999999999998,14,14,Average
3D Monstruos,37,3.3399999999999999,25,25,Average
3D Narrow Escape,39,5,21,21,Average
3D Pac,37,3.5899999999999999,20,20,Average
3D Painter,41,4.4100000000000001,21,21,Average
3D Pool,35,4.0700000000000003,32,32,Average
3D Pyramid,43,3.6600000000000001,15,15,Average
3D Snooker,38,4.6500000000000004,23,23,Average
3D Space Wars,44,4.3499999999999996,42,42,Average
3D Speed Duel,37,4,22,22,Average
3D Starstrike,40,4.04,48,48,Average
3D Stock Car Championship,40,3.6600000000000001,22,22,Average
3D Tank Duel,41,2.8100000000000001,22,22,Average
3D Tanx,32,3.6600000000000001,42,42,Average
3D Tetris,41,3.4500000000000002,23,23,Average
3D World Boxing,33,3.52,21,21,Average
3d24,36,3.6800000000000002,22,22,Average
3rd Degree,39,3.6600000000000001,26,26,Average
3x3 Eyes: Kyuusei Koushu,44,4,19,19,Average
3x3 Eyes: Kyuusei Koushu S,43,4,25,25,Average
3x3 Eyes: Seima Kourin Den,30,3.96,23,23,Average
4 Wheel Drive,43,3.6800000000000002,21,21,Average
4 Wheel Thunder,40,3.8700000000000001,24,24,Average
40 Winks,43,3.5699999999999998,48,48,Average
46 Okunen Monogatari: Harukanaru Eden he,31,3.1800000000000002,24,24,Average
4D Boxing,37,4.4100000000000001,34,34,Average
4nin-uchi Mahjong Jantotsu,34,3.2799999999999998,23,23,Average
4th & Inches Team Construction Disk,41,3.75,21,21,Average
4-TRIS,36,4.3099999999999996,26,26,Average
4x4 Evo 2,38,3.75,66,66,Average
4x4 Evolution,43,3.1499999999999999,16,16,Average
50 Cent: BotS,32,4.4299999999999997,23,23,Average
500 GP,33,3.5699999999999998,23,23,Average
5th Grader: Game Time,44,3.6400000000000001,25,25,Average
6 Inch My Darling,44,3.25,25,25,Average
64 Oozumou,43,3.6200000000000001,20,20,Average
64 Oozumou 2,42,3.3399999999999999,23,23,Average
64th. Street - A Detective Story,38,3.2599999999999998,17,17,Average
6-PAK,42,4.4100000000000001,18,18,Average
7 Wonders of the Ancient World,33,3.5699999999999998,48,48,Average
720 Degrees,44,3.8999999999999999,108,108,Average
720º,40,3.6099999999999999,20,20,Average
750cc Grand Prix,42,3.8999999999999999,32,32,Average
7th Guest,43,3.6600000000000001,14,14,Average
'88 Games,38,3.8399999999999999,20,20,Average
9 Lives,38,5,48,48,Average
90 Minutes: Sega Championship Football,33,3.4199999999999999,14,14,Average
'99: The Last War,35,3.75,20,20,Average
9-Ball Shootout,40,4.2599999999999998,21,21,Average
9-Ball Shootout Championship,44,4.1600000000000001,17,17,Average
9th Company: Roots Of Terror,33,3.3399999999999999,16,16,Average
A Boy and his Blob in... The Rescue of Princess Blobette,42,2.8900000000000001,22,22,Average
A Collection of Activision Classic Games for the Atari 2600,42,3.1499999999999999,20,20,Average
A Collection of Classic Games from the Intellivision,34,4.2300000000000004,17,17,Average
A Game of Thrones - Genesis,41,3.46,16,16,Average
A Kingdom for Keflings,38,4.2400000000000002,20,20,Average
A Mind Forever Voyaging,41,4,72,72,Average
A Nightmare on Elm Street,41,4.2300000000000004,24,24,Average
A Stroke of Fate: Operation Valkyrie,37,2.6099999999999999,10,10,Average
A. D. 2083,32,3.6600000000000001,22,22,Average
A.B. Cop,37,4.2300000000000004,18,18,Average
A.D. 2044 czyli Sexmisja,44,3.5,24,24,Average
A.E.,37,4.0700000000000003,66,66,Average
A.I.M. Racing,37,3.9399999999999999,21,21,Average
A.R.E.S.: Extinction Agenda,36,4.6500000000000004,23,23,Average
A.S.P.: Air Strike Patrol,42,3.9100000000000001,21,21,Average
Aaargh,38,4.4699999999999998,72,72,Average
Aaargh!,41,4.25,34,34,Average
Aaargh! Condor,43,4.1200000000000001,18,18,Average
Aah! Harimanada,34,3.8999999999999999,22,22,Average
Aardvark,41,3.7999999999999998,23,23,Average
Abandoned Places 2,41,4.3200000000000003,22,22,Average
Abandoned Places: A Time for Heroes,31,4.7199999999999998,19,19,Average
ABC,40,4.2800000000000002,22,22,Average
ABC Monday Night Football,43,3.6600000000000001,46,46,Average
ABPA Backgammon,39,3.27,12,12,Average
Abracadabra,39,2.2200000000000002,72,72,Average
Abu Simbel Profanation,42,4,78,78,Average
Abuse,42,4.0300000000000002,21,21,Average
Abyss,42.5,4.3300000000000001,37,37,Average
Academy: Tau Ceti 2,41,4.0700000000000003,69,69,Average
Academy: Tau Ceti II,44,3.75,28,28,Average
Accolade In Action,39,3.3399999999999999,19,19,Average
ACE COMBAT 6,38,4.4400000000000004,23,23,Average
Ace Driver,41,3.7999999999999998,22,22,Average
Ace Driver: Victory Lap,37,4.2800000000000002,23,23,Average
Ace Invaders,41,4,24,24,Average
Aces of the Galaxy,36,4,21,21,Average
Acheton,43,3.8399999999999999,20,20,Average
Achron,36,3.6099999999999999,22,22,Average
Action Double,39,3.96,16,16,Average
Action Fighter,35,4.4199999999999999,123,123,Average
Action Man: Operation Extreme,39,3.0600000000000001,24,24,Average
Action Masters,40,4.2599999999999998,19,19,Average
Action Reflex,38,3.8399999999999999,21,21,Average
Action Stations,37,3.7200000000000002,14,14,Average
Activision Decathlon,40,3.6400000000000001,69,69,Average
Actua Ice Hockey,42,4.0800000000000001,22,22,Average
Actua Soccer,44,3.9100000000000001,44,44,Average
Ad Astra,41,4.2800000000000002,20,20,Average
Addams Family Values,42,4.04,34,34,Average
Addams Family: Pugsley's Scavenger Hunt,43,3.96,15,15,Average
adidas Power Soccer,37,4.0499999999999998,21,21,Average
ADRENALIN MISFITS,41,3.7000000000000002,16,16,Average
Advance Wars,44,3.75,22,22,Average
Advance Wars 2: Black Hole Rising,44,2.0899999999999999,24,24,Average
Advanced Dungeons & Dragons,42,4.5800000000000001,23,23,Average
Advanced Dungeons & Dragons: Treasure of Tarmin,37,3.2000000000000002,21,21,Average
Advanced Variable Geo,41,4.54,24,24,Average
Advent Rising,40,4.1299999999999999,42,42,Average
Adventure A: Planet of Death,37,4.5,52,52,Average
Adventure Camp,44,3.8199999999999998,23,23,Average
Adventure Construction Set,31,4.21,21,21,Average
Adventure Creator,42,4.1600000000000001,32,32,Average
Adventure D: Espionage Island,43,3.8599999999999999,25,25,Average
Adventure Island,36,4.3099999999999996,24,24,Average
Adventure Land,42.5,4.4500000000000002,98,98,Average
Adventure Master,40,4.0899999999999999,48,48,Average
Adventure Quest,41.5,4.0750000000000002,47,47,Average
Adventures of Batman & Robin,35,4.1600000000000001,23,23,Average
Adventures of Bond... Basildon Bond,39,4.3399999999999999,22,22,Average
Adventures of Buckaroo Banzai Across the Eighth Dimension,32,3.7999999999999998,24,24,Average
Adventures of Dino-Riki,33,4.2800000000000002,18,18,Average
Adventures of Lolo,34,4.4400000000000004,23,23,Average
Adventures of Lolo 2,37,3.3799999999999999,21,21,Average
Adventures of Lolo 3,41,3.0600000000000001,23,23,Average
Adventures of Maddog Williams in the Dungeons of Duridian,42,4.1399999999999997,38,38,Average
Adventures of Rad Gravity,43,3.1600000000000001,15,15,Average
Adventures of Robbo,44,3.52,22,22,Average
Adventures of Shuggy,39,3.3399999999999999,25,25,Average
Adventures of Star Saver,39,4.25,21,21,Average
Adventures of Yogi Bear,38,4.1299999999999999,26,26,Average
Aeon Flux,38,4.25,22,22,Average
Aerial Assault,44,3.75,19,19,Average
Aeroboto,44,3.4900000000000002,17,17,Average
AeroGauge,31,3.3399999999999999,22,22,Average
AFL Live 2003,37,3.6000000000000001,44,44,Average
AFL Live 2004,41,4.6500000000000004,32,32,Average
After Burner,42,4.1600000000000001,112,112,Average
After Burner Climax,43,3.1000000000000001,21,21,Average
After Burner III,39,3.4199999999999999,23,23,Average
After Burner: Black Falcon,33,4.6900000000000004,23,23,Average
Afterburner II,44,4.2300000000000004,22,22,Average
Afteroids,34,3.3399999999999999,69,69,Average
Age of Booty,41,3,21,21,Average
Agent USA,41,4.7699999999999996,78,78,Average
Agent X,37,4,36,36,Average
Agent X 2: The Mad Prof's Back,43,3.54,19,19,Average
Agent X II: The Mad Prof's Back!,38,3.1600000000000001,44,44,Average
Aggressors of Dark Kombat,44,3.1600000000000001,24,24,Average
Agress,40,3.46,25,25,Average
Ah Diddums,30,4.3799999999999999,48,48,Average
Ah Eikou no Koshien,39,4.3399999999999999,21,21,Average
Ai Cho Aniki,42,3.6800000000000002,22,22,Average
Air Attack,32,3.54,21,21,Average
Air Battle,44,3,19,19,Average
Air Combat 22,40,3.7000000000000002,18,18,Average
Air Conflicts: Secret Wars,38.332999999999998,4.1970000000000001,44,44,Average
Air Duel,39,4.4699999999999998,23,23,Average
Air Gallet,43,3.3399999999999999,18,18,Average
Air Race,42,3.3399999999999999,17,17,Average
Air Raid,44,3.46,46,46,Average
Air Raiders,40,3.3399999999999999,21,21,Average
Air Rescue,39,4.2400000000000002,23,23,Average
Air Trix,39,4.6600000000000001,22,22,Average
Air Zonk,39,4.2300000000000004,18,18,Average
Airborne Ranger,42,3.5499999999999998,84,84,Average
AirCars,34,4.1399999999999997,20,20,Average
Airheart,34,3.9300000000000002,22,22,Average
Aironauts,36,4.1299999999999999,21,21,Average
Airs Adventure,38,4.6200000000000001,21,21,Average
Airstrike,42,3.98,18,18,Average
Airwolf,40,3.7999999999999998,100,100,Average
Ajax,42,2.5,21,21,Average
Akai Katana,39,3.6000000000000001,21,21,Average
Akanbe Dragon,44,3.9700000000000002,23,23,Average
Akazukin Chacha,35,3.3399999999999999,23,23,Average
Akira,35,4,32,32,Average
Akkanbeder,38,3.5699999999999998,17,17,Average
Akuji: The Heartless,44,3.0800000000000001,16,16,Average
Akumajo Dracula X: Chi no Rondo,39,3.9199999999999999,14,14,Average
Akumajo Dracula X: Gekka no Yasoukyoku,41,3.4100000000000001,24,24,Average
Akumajo Special: Boku Dracula-kun,33,3.5,21,21,Average
Akumajou Dracula,33,4.2800000000000002,24,24,Average
Akumajou Dracula XX,30,4.0999999999999996,26,26,Average
Akuma-kun: Makai no Wana,36,3.9100000000000001,16,16,Average
Al Unser Jr. Turbo Racing,40,4.3200000000000003,23,23,Average
Alan Wake,41,3.75,46,46,Average
Alaskan Adventures,32,3.8399999999999999,14,14,Average
Alaskan Storm,33,3.8199999999999998,17,17,Average
Alcazar: The Forgotten Fortress,40.5,4.1550000000000002,70,70,Average
Aleste 2,36,3.1600000000000001,19,19,Average
Aleste Gaiden,38,3.6000000000000001,20,20,Average
Alex Ferguson's Player Manager 2001,32,4.21,21,21,Average
Alex Kidd in Miracle World,37,3.6400000000000001,24,24,Average
Alex Kidd in the Enchanted Castle,43,3.4399999999999999,22,22,Average
Alex Kidd: BMX Trial,44,4,17,17,Average
Alex Kidd: The Lost Stars,34,3.54,15,15,Average
ALF,38,3.4199999999999999,24,24,Average
Alibaba and 40 Thieves,42,4.1299999999999999,26,26,Average
Alice in Wonderland,42,3.9700000000000002,39,39,Average
Alien,42,2.7000000000000002,100,100,Average
Alien Ambush,44,4.3200000000000003,20,20,Average
Alien Breed (Special Edition 92),36,3.7000000000000002,20,20,Average
Alien Breed 2: Assault,42,4.3200000000000003,14,14,Average
Alien Breed 3: Descent,37,3.1499999999999999,46,46,Average
Alien Breed 3D,31,3.6000000000000001,23,23,Average
Alien Breed Episode 1,38,3.9399999999999999,15,15,Average
Alien Breed II: The Horror Continues,36,3.8900000000000001,21,21,Average
Alien Breed Trilogy,39,3.6000000000000001,25,25,Average
Alien Breed: Tower Assault,38,3.8199999999999998,22,22,Average
Alien Brigade,42,3.3399999999999999,21,21,Average
Alien Front Online,39,3.3399999999999999,24,24,Average
Alien Highway: Encounter 2,30,4.4100000000000001,25,25,Average
Alien Hominid,40,4.6900000000000004,66,66,Average
Alien Invaders - Plus,41,4.0999999999999996,22,22,Average
Alien Invasion Part II,43,4.1600000000000001,21,21,Average
Alien Olympics 2044 AD,44,3.75,22,22,Average
Alien Resurrection,35,3.4900000000000002,23,23,Average
Alien Swarm,38,3.8399999999999999,24,24,Average
Alien Syndrome,40,4.1600000000000001,192,192,Average
Alien vs. Predator,37.332999999999998,3.6269999999999998,36,36,Average
Alien³,38.5,3.7850000000000001,42,42,Average
Alien3: The Gun,38,3.75,18,18,Average
Alienators: Evolution Continues,38,3.3799999999999999,22,22,Average
Aliens,39,3.73,65,65,Average
Aliens Colonial Marines,40,3.2200000000000002,20,20,Average
Aliens vs. Predator: Requiem,42,3.8700000000000001,22,22,Average
Aliens: The Computer Game,36.5,3.5049999999999999,47,47,Average
Alisia Dragoon,41,4.5300000000000002,25,25,Average
All Dogs Go to Heaven,37,3.7000000000000002,22,22,Average
All Pro Football 2K8,34,4.04,19,19,Average
All Star Tennis '99,39,3.8900000000000001,28,28,Average
All-American Championship Football,31,3.5699999999999998,19,19,Average
Alleykat,33,4.4199999999999999,18,18,Average
Alligator Hunt,32,4.1600000000000001,23,23,Average
All-Star Baseball 2002,41,3.6400000000000001,44,44,Average
All-Star Baseball 2003,34,3.3399999999999999,66,66,Average
All-Star Baseball 2004,43,3.8100000000000001,66,66,Average
All-Star Baseball 2005,35,4.2599999999999998,38,38,Average
All-Star Baseball '99,41,3.8399999999999999,21,21,Average
Alone In The Dark,39.332999999999998,3.887,38,38,Average
Alone in the Dark 2,41,3.48,42,42,Average
Alone in the Dark: Jack is Back,44,3.46,19,19,Average
Alone In the Dark: One-Eyed Jack's Revenge,35,3.96,22,22,Average
Alone in the Dark: The New Nightmare,37,4.2000000000000002,69,69,Average
Alpha Mission II,43,3.6099999999999999,22,22,Average
Alpha One,34,3.5699999999999998,23,23,Average
Alpha Protocol,41,4.04,23,23,Average
Alpine Racer 2,36,2.6200000000000001,21,21,Average
Alpine Ski,43,4.4199999999999999,18,18,Average
Alpine Surfer,41,3.9300000000000002,19,19,Average
Alpiner,43,3.79,25,25,Average
Alshark,43,4.0300000000000002,44,44,Average
Altered Beast,38,3.75,250,250,Average
Alternativa,43,3.4100000000000001,22,22,Average
Alundra,39,4.4699999999999998,21,21,Average
Alundra 2,35,3.9300000000000002,19,19,Average
Amaurote,39,3.96,115,115,Average
Amazing Island,40,4.1600000000000001,24,24,Average
Amazing Snake (Beta 4),41,4.1600000000000001,15,15,Average
Amazing Snake (Beta 5),37,4.0300000000000002,23,23,Average
Amazing Snake (Beta X),44,5,17,17,Average
Amazing Spider-man: Dr. Doom's Revenge,37,3.0600000000000001,24,24,Average
Amazing Spider-Man: Web of Fire,35,3.6000000000000001,24,24,Average
Ambermoon,40,3.4399999999999999,24,24,Average
Amegas,38,3.7000000000000002,26,26,Average
America Daitouryou Senkyo,42,4.1600000000000001,19,19,Average
American Conquest,42,3.6400000000000001,17,17,Average
American Conquest: Fight Back,36,4,18,18,Average
American Dragon: Jake Long - Rise of the Huntsclan,32,4.1399999999999997,23,23,Average
American Football,42,4.0499999999999998,36,36,Average
American Horseshoes,36,4.4000000000000004,21,21,Average
American Idol,43,3.3399999999999999,46,46,Average
American Poker II,30,4.6500000000000004,23,23,Average
American Speedway,41,3,21,21,Average
American Tag-Team Wrestling,41,4.0499999999999998,19,19,Average
American Wasteland,42,3.6200000000000001,16,16,Average
America's Army 3,42,4.5300000000000002,22,22,Average
America's Army: Rise of a Soldier (Special Edition),40,3.6600000000000001,21,21,Average
AmeriDarts,40,4.2800000000000002,21,21,Average
AMF Bowling 2004,37,4.0700000000000003,23,23,Average
Amidar,31,4.2199999999999998,13,13,Average
Amiga Champions,43,2.9199999999999999,24,24,Average
Amiga Classix 3,39,3.2200000000000002,17,17,Average
Amiganoid,34,4.25,26,26,Average
Amnesia,42,4.4199999999999999,28,28,Average
Amnios,38,3.9100000000000001,22,22,Average
Amok,43,4.0999999999999996,21,21,Average
Amped 2,33,4.1600000000000001,19,19,Average
Amped 3,42,4.0599999999999996,26,26,Average
Amped: Freestyle Snowboarding,43,3.9399999999999999,15,15,Average
Amstrad Compilation Disk Spectrum+3,35,4.1600000000000001,20,20,Average
An American Tail: Fievel's Gold Rush,44,4.2599999999999998,22,22,Average
Ancient Art of War,36,3.3399999999999999,44,44,Average
Ancient Art of War at Sea,40,3.7200000000000002,16,16,Average
Ancient Art of War in the Skies,39,3.5,46,46,Average
Ancipital,30,3.8399999999999999,22,22,Average
AND 1 Streetball,44,3.8900000000000001,46,46,Average
Andre Agassi Tennis,39,3.8399999999999999,44,44,Average
Andro Dunos,40,3.6000000000000001,34,34,Average
Android Two,41,4.7000000000000002,19,19,Average
Andromeda Mission,32,4.25,21,21,Average
Andy Capp,30,3.8399999999999999,48,48,Average
Andy Capp: The Game,40,4.0599999999999996,22,22,Average
Anett Futatabi,44,3.04,23,23,Average
Anfractuos,38,3.3799999999999999,25,25,Average
Angel Kids,31,4.2800000000000002,17,17,Average
Angel Nieto Grand Prix: Pole 500,37,4.21,21,21,Average
Angel Nieto Pole 500,44,4.1200000000000001,68,68,Average
Angel Paradise Volume 1: Sakaki Koinoyokan in Hollywood,33,3.5699999999999998,19,19,Average
Animal Bonus,38,3.7200000000000002,24,24,Average
Animal Treasure Hunt,43,3.5,21,21,Average
Animaniacs,40,4.7599999999999998,46,46,Average
Animaniacs: The Great Edgar Hunt,39.5,4.0149999999999997,67,67,Average
Animorphs,41,4.3499999999999996,18,18,Average
Animorphs: Shattered Reality,43,4.6200000000000001,21,21,Average
Ankoku Shinwa: Yamato Takeru Densetsu,44,2.6299999999999999,22,22,Average
Annals of Rome,37,3.71,72,72,Average
Anno 2070,35,3.6400000000000001,18,18,Average
Anomaly: Warzone Earth,42,3.9399999999999999,16,16,Average
Another World,40,4.54,44,44,Average
Ant Attack,42,4.2800000000000002,42,42,Average
Ant Bully,37,4.0499999999999998,32,32,Average
Antarctic Adventure,44,4.21,42,42,Average
Antz,35,4.1600000000000001,26,26,Average
Antz Extreme Racing,43,4,66,66,Average
Antz Racing,34,4.5700000000000003,22,22,Average
APB - All Points Bulletin,35,4.1600000000000001,92,92,Average
APB: All Points Bulletin,33,3.3399999999999999,20,20,Average
Ape Escape,38,3.6200000000000001,22,22,Average
Ape Escape Academy,37,4,22,22,Average
Apidya 2,42,2.5,22,22,Average
Apocaljpse Now,33,3.1000000000000001,21,21,Average
Apocalypse,39,4.2000000000000002,18,18,Average
Apocalypse II,43,3.5,22,22,Average
APOX: Legend,40,4.0899999999999999,24,24,Average
Apple 10,36,4.3799999999999999,22,22,Average
Apples to Apples,44,3.6099999999999999,13,13,Average
Apprentice,34,3.1499999999999999,46,46,Average
Aqua Jack,42,4,21,21,Average
Aqua Rush,42,3.6400000000000001,22,22,Average
Aquaman: Battle for Atlantis,35,4.0599999999999996,42,42,Average
Aquanaut's Holiday,31,4.5,19,19,Average
Aquatic Games,41,3.6499999999999999,20,20,Average
Aquattack,44,4,42,42,Average
Aquaventura,35,4.3799999999999999,19,19,Average
Arabian Fight,35,3.3399999999999999,22,22,Average
Arabian Magic,43,5,23,23,Average
Aracnis,44,4.0300000000000002,21,21,Average
Araiguma Rascal,39,4.2300000000000004,23,23,Average
Arc the Lad II,44,3.5,22,22,Average
Arc the Lad III,36,3.96,24,24,Average
Arc the Lad: Kijin Fukkatsu,38,5,22,22,Average
Arcade Classic 1: Asteroids & Missile Command,34,4.3799999999999999,25,25,Average
Arcade Classics,40.5,4.2249999999999996,41,41,Average
Arcade Gears 1: Pu-Li-Ru-La,43,3.6800000000000002,19,19,Average
Arcade Gears 2: Gun Frontier,34,2.7999999999999998,24,24,Average
Arcade Gears 4: Image Fight & X Multiply,39,4.3399999999999999,21,21,Average
Arcade Gears: Image Fight & X Multiply,35,3.5099999999999998,17,17,Average
Arcade Muscle,38,3.9399999999999999,17,17,Average
Arcade Party Pak,41,3.2599999999999998,21,21,Average
Arcade Snooker,42,4.0599999999999996,16,16,Average
Arcade's Greatest Hits: The Atari Collection 2,40,4.3600000000000003,18,18,Average
Arcade's Greatest Hits: The Midway Collection 2,34,3.3399999999999999,24,24,Average
Archer Maclean's Mercury,33,4.3200000000000003,25,25,Average
Archers,41,4.04,72,72,Average
Archon II: Adept,39,5,42,42,Average
Archon: The Light and the Dark,36,3.96,126,126,Average
Arctic Thunder,30,4.3499999999999996,48,48,Average
Arcus,40,3.8900000000000001,24,24,Average
Arcus Spirits,43,3.8399999999999999,9,9,Average
Area 51,30,3.4100000000000001,84,84,Average
Area 51 / Maximum Force Duo,44,3.1200000000000001,19,19,Average
Area 51 / Maximum Force Duo v2.0,42,4.0899999999999999,21,21,Average
Area 51: Site 4,37,4.2599999999999998,21,21,Average
Arena Football,38,4.25,22,22,Average
Aretha,36,3.8999999999999999,21,21,Average
Aretha 3,40,3.6200000000000001,22,22,Average
Aretha II: Ariel Fushigi no Tabi,40,4,21,21,Average
Argus,37,3.0899999999999999,46,46,Average
Arkanna (Demo),43,3.5299999999999998,17,17,Average
Arkanoid,36.667000000000002,4.0700000000000003,213,213,Average
Arkanoid - Revenge of DOH,42,4.1399999999999997,143,143,Average
Arkanoid 2: Revenge of Doh,40,4.3399999999999999,48,48,Average
ARKANOID Live!,31,4.4400000000000004,25,25,Average
Arkanoid Returns,41,3.6800000000000002,23,23,Average
Arkanoid: Doh It Again,40,3.1200000000000001,20,20,Average
Arle no Bouken: Mahou no Jewel,38,4.1600000000000001,17,17,Average
Arlington Horse Racing,42,4.0899999999999999,22,22,Average
Arm Champs II v1.7,44,3.75,17,17,Average
Arm Wrestling,42,3.8399999999999999,40,40,Average
ARMA: Combat Operations,35,4.2800000000000002,24,24,Average
Armada 2526,31,2.1899999999999999,25,25,Average
Armor Ambush,38,3.27,19,19,Average
Armor Attack,39,3.8599999999999999,24,24,Average
Armor Battle,43,3.6800000000000002,17,17,Average
Armored Encounter,44,2.7200000000000002,17,17,Average
Armorines: Project S.W.A.R.M.,38,3.4399999999999999,44,44,Average
Armour-Geddon,34,4.21,44,44,Average
Army Men,34,4,28,28,Average
Army Men Air Combat: The Elite Missions,44,3.96,21,21,Average
Army Men World War: Final Front,44,4.0999999999999996,20,20,Average
Army Men World War: Land Sea Air,38,3.9399999999999999,21,21,Average
Army Men: Advance,37,4.5199999999999996,21,21,Average
Army Men: Air Attack,42,4.2000000000000002,17,17,Average
Army Men: Air Combat,43,4.4400000000000004,23,23,Average
Army Men: Green Rogue,36,3.75,22,22,Average
Army Men: Operation Green,36,3.6000000000000001,22,22,Average
Army Men: Sarge's Heroes 2,37,4.0499999999999998,40,40,Average
Army Moves,38,3.6000000000000001,110,110,Average
Army of Two,41,3.48,17,17,Average
Army of Two (EU),43,3.75,18,18,Average
Army of TWO: TFD,42,4.2800000000000002,21,21,Average
Arnie's America's Cup Challenge,35,3.2599999999999998,44,44,Average
Arnold Palmer Tournament Golf,36,4.2800000000000002,84,84,Average
Around The World,42,3.75,23,23,Average
Arrow Bingo,32,3.9399999999999999,18,18,Average
Arrow Flash,43,3.75,44,44,Average
Art Master,40,4.2800000000000002,25,25,Average
Art of Fighting,43,3.3799999999999999,23,23,Average
Art of Fighting 2,40,3.9399999999999999,24,24,Average
Art of Fighting 2 / Ryuuko no Ken 2,44,3.6099999999999999,22,22,Average
Art of Fighting 3 - The Path of the Warrior / Art of Fighting - Ryuuko no Ken Gaiden,39,4.4000000000000004,23,23,Average
Art of Fighting 3: The Path of The Warrior,40,3.75,21,21,Average
Arthur: The Quest for Excalibur,39,4.4000000000000004,50,50,Average
Artifact,42,3.4500000000000002,23,23,Average
Artificial Dreams,33,4.2800000000000002,44,44,Average
Artillery Duel,36,4.46,80,80,Average
Artura,31,3.6600000000000001,76,76,Average
Arubarea no Otome,39,2.2200000000000002,18,18,Average
Arx Fatalis,43,3.5699999999999998,23,23,Average
Arya Vaiv,43,2.8100000000000001,22,22,Average
Asameshimae Nyanko,40,5,20,20,Average
Ashes Cricket 2009,39,4.54,20,20,Average
Ashes of Empire,39,3.7000000000000002,24,24,Average
Ashita no Joe Densetsu,37,3.4199999999999999,25,25,Average
Ashura Blaster,43,3.5299999999999998,19,19,Average
Asmik-kun Land,38,4.1600000000000001,23,23,Average
ASO - Armored Scrum Object,43,4.54,21,21,Average
ASO II: Last Guardian,44,4.6600000000000001,23,23,Average
Asphalt,41,4.1500000000000004,21,21,Average
Asphalt: Urban GT 2,39,3.6600000000000001,19,19,Average
Assassin Demo: Release No. 1,35,3.75,22,22,Average
