GameName,Price,Rating,UserCounts,ConsoleCounts
1943: Battle of Midway,44,3.48,19,19
1943: Midway Kaisen,36,4.0899999999999999,21,21
1943: The Battle of Midway,41,4.1600000000000001,22,22
1945k III,68,3.8100000000000001,18,18
1984: The Game of Government Management,40,3.79,16,16
1985,43,4.8099999999999996,20,20
1985: The Day After,49,5,36,36
1991 Du Ma Racing,36,3.9300000000000002,22,22
1991 Spikes,43,4.1600000000000001,12,12
1994: Ten Years After,47,4.1200000000000001,36,36
1999,39,3.4100000000000001,21,21
19XX: The War Against Destiny,43,3.9300000000000002,20,20
1st Division Manager,55,2.8199999999999998,84,84
2 Hot 2 Handle,52,4,24,24
2 in 1: Spider-Man: Mysterio's Menace & X2: Wolverine's Revenge,32,3.54,23,23
2 in 1: V-Rally 3 & Stuntman,41,4.5700000000000003,20,20
2 On 2 Open Ice Challenge,42,3.46,18,18
2 Pak Special: Cavern Blaster & City War,46,3.3999999999999999,21,21
2 Player Soccer Squad,39,4.0899999999999999,20,20
20 Tons,47,4.79,24,24
2002 FIFA World Cup,42,4.3799999999999999,40,40
2003: A Space Oddity,53,3.6099999999999999,22,22
2006 FIFA World Cup,46,3.96,21,21
2010 FIFA World Cup,43,3.54,23,23
2010: The Graphic Action Game,42,4.6600000000000001,25,25
2020 Super Baseball,46,4.4699999999999998,23,23
2088,45,4.1600000000000001,20,20
21,35,2.8999999999999999,26,26
2112 AD,63,3.2000000000000002,18,18
2400 A.D.,44,3.6600000000000001,23,23
25 to Life,41,3.9399999999999999,23,23
280zzap,40,3.6200000000000001,21,21
2Tax Gold,45,4.2300000000000004,18,18
3 Count Bout,36,4,19,19
3 Count Bout / Fire Suplex,32,4.1600000000000001,22,22
3 Jigen Kakutou Ballz,44,4.3099999999999996,24,24
3 Ninjas Kick Back,39,3.9300000000000002,48,48
3 on 3 NHL® Arcade,51,4.3799999999999999,23,23
300: March to Glory,53,3.7799999999999998,21,21
32 in 1 Game Cartridge,42,3.27,22,22
3-2-1,42,4.0899999999999999,20,20
3D Asteroids,41,4.0599999999999996,20,20
3D Baseball,46,3.3999999999999999,19,19
3D Bat Attack,40,4,22,22
3-D Bowling,31,3.3399999999999999,20,20
3-D Brickaway,54,3.2599999999999998,30,30
3D Combat Zone,50,4.04,19,19
3D Deathchase,39,3.46,21,21
3D Defence,43,3.75,22,22
3D Defenda,36,3.5699999999999998,21,21
3D Grand Prix Championship,40,4.0499999999999998,20,20
3D Interceptor,48,3.48,17,17
3D Labyrinth,35,3.8399999999999999,24,24
3D Lunattack,39,4.3200000000000003,69,69
3D Maze,41,3.46,25,25
3D Maze of Gold,40,4.5300000000000002,22,22
3D Mine Storm,46,4.7000000000000002,23,23
3D Mission Shooting: Finalist,44,3.75,21,21
3D Monster Chase,38,4.7599999999999998,14,14
3D Monstruos,37,3.3399999999999999,25,25
3D Narrow Escape,39,5,21,21
3D Pac,37,3.5899999999999999,20,20
3D Painter,41,4.4100000000000001,21,21
3D Pool,35,4.0700000000000003,32,32
3D Pyramid,43,3.6600000000000001,15,15
3D Seiddab Attack,46,3.6400000000000001,40,40
3D Snooker,38,4.6500000000000004,23,23
3D Space Wars,44,4.3499999999999996,42,42
3D Speed Duel,37,4,22,22
3D Star Wars,45,4.2400000000000002,21,21
3D Starstrike,40,4.04,48,48
3D Stock Car Championship,40,3.6600000000000001,22,22
3D Stock Cars II,55,3.4399999999999999,42,42
3D Tank Duel,41,2.8100000000000001,22,22
3D Tanx,32,3.6600000000000001,42,42
3D Tetris,41,3.4500000000000002,23,23
3D Tunel,45,3.5099999999999998,19,19
3D Tunnel,61,4.3200000000000003,21,21
3D Ultra Minigolf,50,3.1200000000000001,18,18
3D Ultra MiniGolf 2,46,3.7000000000000002,20,20
3D Vortex,51,4.3399999999999999,17,17
3D Waterski,57,3.2000000000000002,16,16
3D World Boxing,33,3.52,21,21
3d24,36,3.6800000000000002,22,22
3DC,50,2.6400000000000001,23,23
3-Deep Space,46,3.04,15,15
3D-Pinball,49,3.75,14,14
3rd Degree,39,3.6600000000000001,26,26
3x3 Eyes: Juuma Houkan,46,3.9300000000000002,24,24
3x3 Eyes: Kyuusei Koushu,44,4,19,19
3x3 Eyes: Kyuusei Koushu S,43,4,25,25
3x3 Eyes: Sanjiyan Henjou,47,3.3999999999999999,25,25
3x3 Eyes: Seima Densetsu,50,4.4400000000000004,14,14
3x3 Eyes: Seima Kourin Den,30,3.96,23,23
3x3 Eyes: Tenrinougenmu,50,2.71,18,18
4 Soccer Simulators,53,3.6800000000000002,23,23
4 Wheel Drive,43,3.6800000000000002,21,21
4 Wheel Thunder,40,3.8700000000000001,24,24
40 Winks,48,3.6150000000000002,45,45
46 Okunen Monogatari: Harukanaru Eden he,31,3.1800000000000002,24,24
4D Boxing,37,4.4100000000000001,34,34
4-D Warriors,51,3.3399999999999999,21,21
4nin-uchi Mahjong Jantotsu,34,3.2799999999999998,23,23
4th & Inches,45,3.5699999999999998,36,36
4th & Inches Team Construction Disk,41,3.75,21,21
4-TRIS,36,4.3099999999999996,26,26
4x4 Evo 2,38,3.75,66,66
4x4 Evolution,43,3.1499999999999999,16,16
50 Cent: BotS,32,4.4299999999999997,23,23
50 Cent: Bulletproof,49,4.1200000000000001,42,42
500 GP,33,3.5699999999999998,23,23
500cc Motomanager,45,3.7999999999999998,23,23
5200 Menu Program,53,3.5299999999999998,21,21
5th Anniversary,54,4.2800000000000002,24,24
5th Gear,45,4.3799999999999999,28,28
5th Grader: Game Time,44,3.6400000000000001,25,25
6 Inch My Darling,44,3.25,25,25
64 de Hakken!! Tamagotchi Minna de Tamagotchi World,47,3.1600000000000001,21,21
64 Oozumou,43,3.6200000000000001,20,20
64 Oozumou 2,42,3.3399999999999999,23,23
64th. Street - A Detective Story,38,3.2599999999999998,17,17
6-PAK,42,4.4100000000000001,18,18
7 Colors,48,2.8599999999999999,44,44
7 Ordi,52,3.3399999999999999,21,21
7 Wonders of the Ancient World,33,3.5699999999999998,48,48
720 Degrees,47.5,3.4500000000000002,104,104
720º,40,3.6099999999999999,20,20
750cc Grand Prix,42,3.8999999999999999,32,32
7th Guest,43,3.6600000000000001,14,14
8 Eyes,46,3.8100000000000001,24,24
800 Fathoms,45,4.3799999999999999,21,21
'88 Games,38,3.8399999999999999,20,20
9 Lives,38,5,48,48
90 Minutes: European Prime Goal,50,4.0599999999999996,21,21
90 Minutes: Sega Championship Football,33,3.4199999999999999,14,14
911 Tiger Shark,52,4.2599999999999998,23,23
'99: The Last War,35,3.75,20,20
9-Ball Shootout,40,4.2599999999999998,21,21
9-Ball Shootout Championship,44,4.1600000000000001,17,17
9th Company: Roots Of Terror,33,3.3399999999999999,16,16
A Boy and his Blob in... The Rescue of Princess Blobette,42,2.8900000000000001,22,22
A Boy and his Blob: Trouble on Blobolonia,55,3.8700000000000001,19,19
A Bug's Life,50,4.0899999999999999,24,24
A Collection of Activision Classic Games for the Atari 2600,42,3.1499999999999999,20,20
A Collection of Classic Games from the Intellivision,34,4.2300000000000004,17,17
A Day In the Life,50,3.46,25,25
A Dinosaur's Tale,48,3.3399999999999999,14,14
A Game of Thrones - Genesis,41,3.46,16,16
A Kingdom for Keflings,38,4.2400000000000002,20,20
A Mind Forever Voyaging,41,4,72,72
A Nightmare on Elm Street,41,4.2300000000000004,24,24
A Stroke of Fate: Operation Valkyrie,37,2.6099999999999999,10,10
A Ticket to Ride,48,3.3399999999999999,23,23
A View to a Kill,49,3.9399999999999999,60,60
A World of Keflings,45,3.8900000000000001,23,23
A. D. 2083,32,3.6600000000000001,22,22
A.B. Cop,37,4.2300000000000004,18,18
A.D. 2044 czyli Sexmisja,44,3.5,24,24
A.E.,37,4.0700000000000003,66,66
A.G.E.,50,3.8399999999999999,42,42
A.I.M. Racing,37,3.9399999999999999,21,21
A.J.'s World of Discovery,58,3.27,24,24
A.M.C.: Astro Marine Corps,45,4.6200000000000001,110,110
A.R.E.S.: Extinction Agenda,36,4.6500000000000004,23,23
A.S.P.: Air Strike Patrol,42,3.9100000000000001,21,21
Aa Yakyuu Jinsei Icchokusen,49,3.2200000000000002,18,18
AA: True Soldiers,50,4.0899999999999999,13,13
Aaargh,38,4.4699999999999998,72,72
Aaargh!,41,4.25,34,34
Aaargh! Condor,43,4.1200000000000001,18,18
Aah! Harimanada,34,3.8999999999999999,22,22
Aardvark,41,3.7999999999999998,23,23
Abadía del Crimen,47,3.7000000000000002,48,48
Abandoned Places 2,41,4.3200000000000003,22,22
Abandoned Places: A Time for Heroes,31,4.7199999999999998,19,19
ABC,40,4.2800000000000002,22,22
ABC Monday Night Football,43,3.6600000000000001,46,46
ABPA Backgammon,39,3.27,12,12
Abracadabra,39,2.2200000000000002,72,72
Abraxas Adventure No. 1: Assault on the Astral Rift,53,4.4100000000000001,21,21
Abu Simbel Profanation,42,4,78,78
Abuse,42,4.0300000000000002,21,21
Abyss,42.5,4.3300000000000001,37,37
Academy: Tau Ceti 2,41,4.0700000000000003,69,69
Academy: Tau Ceti II,44,3.75,28,28
Accele Brid,49,4.0999999999999996,21,21
Accolade In Action,39,3.3399999999999999,19,19
Ace,48,3.1200000000000001,20,20
Ace Attacker,51,3.75,20,20
ACE COMBAT 6,38,4.4400000000000004,23,23
Ace Combat Advance,49,4.21,21,21
ACE COMBAT: AH,53,4.1299999999999999,21,21
ACE COMBAT: AH Demo,52,3.3399999999999999,25,25
Ace Driver,41,3.7999999999999998,22,22
Ace Driver: Victory Lap,37,4.2800000000000002,23,23
Ace Invaders,41,4,24,24
Ace Lightning,50,3.0600000000000001,21,21
Ace o Nerae!,47,4.4900000000000002,22,22
Aces of the Galaxy,36,4,21,21
Acheton,43,3.8399999999999999,20,20
Achron,36,3.6099999999999999,22,22
Acrobatic Dog-Fight,50,3.6400000000000001,19,19
Action 2000,46,3.1000000000000001,24,24
Action 52,51,4.1299999999999999,12,12
Action Amiga,46,3.7799999999999998,23,23
Action Biker,53,4.54,72,72
Action Double,39,3.96,16,16
Action Fighter,35,4.4199999999999999,123,123
Action Man: Operation Extreme,39,3.0600000000000001,24,24
Action Masters,40,4.2599999999999998,19,19
Action Pachio Otto,47,3.4100000000000001,25,25
Action Pack,45,4.5800000000000001,46,46
Action Reflex,38,3.8399999999999999,21,21
Action Sport,46,4.2300000000000004,20,20
Action Stations,37,3.7200000000000002,14,14
Activision Decathlon,40,3.6400000000000001,69,69
Activision Hits Remixed,48,3.75,20,20
Actua Golf,49,3.48,18,18
Actua Ice Hockey,42,4.0800000000000001,22,22
Actua Ice Hockey 2,45,3.5,21,21
Actua Soccer,44,3.9100000000000001,44,44
Actua Soccer 2,45,2.8399999999999999,18,18
Actua Soccer 3,54,3.54,21,21
Actua Soccer: Club Edition,45,3.3999999999999999,44,44
Actua Tennis,45,3.3399999999999999,13,13
Ad Astra,41,4.2800000000000002,20,20
Adam's Venture Episode 1: The Search For The Lost Garden,50,3.4100000000000001,28,28
Addams Family Values,54.5,3.8599999999999999,29,29
Addams Family: Pugsley's Scavenger Hunt,43,3.96,15,15
Addicta Ball,47,3.48,25,25
adidas Power Soccer,37,4.0499999999999998,21,21
ADRENALIN MISFITS,41,3.7000000000000002,16,16
Advance of the Mega Camels,45,3.75,23,23
Advance to Boardwalk,48,3.75,26,26
Advance Wars,44,3.75,22,22
Advance Wars 2: Black Hole Rising,44,2.0899999999999999,24,24
Advanced Busterhawk Gleylancer,47,4.8099999999999996,21,21
Advanced Dungeons & Dragons,42,4.5800000000000001,23,23
Advanced Dungeons & Dragons: Cloudy Mountain,55,3.2400000000000002,24,24
Advanced Dungeons & Dragons: Treasure of Tarmin,37,3.2000000000000002,21,21
Advanced Ski Simulator,49,3.6099999999999999,76,76
Advanced Variable Geo,41,4.54,24,24
Advantage Tennis,45,3.7000000000000002,42,42
Adven'chuta,51,4.3799999999999999,20,20
Advent Rising,40,4.1299999999999999,42,42
Adventure 2,52,3.5699999999999998,16,16
Adventure A: Planet of Death,37,4.5,52,52
Adventure B: Inca Curse,48,4.4400000000000004,75,75
Adventure C: Ship Of Doom,48,3.7999999999999998,72,72
Adventure Camp,44,3.8199999999999998,23,23
Adventure Construction Set,31,4.21,21,21
Adventure Creator,42,4.1600000000000001,32,32
Adventure D: Espionage Island,43,3.8599999999999999,25,25
Adventure E: The Golden Apple,53,2.1400000000000001,19,19
Adventure F: The Eye Of Bain,54,4.3200000000000003,13,13
Adventure G: Ground Zero,48,3.6400000000000001,19,19
Adventure Island,36,4.3099999999999996,24,24
Adventure Island 2,45,3.52,24,24
Adventure Island 3,47,3.8199999999999998,13,13
Adventure Island II - Aliens in Paradise,58,3.0800000000000001,23,23
Adventure Land,42.5,4.4500000000000002,98,98
Adventure Master,40,4.0899999999999999,48,48
Adventure Quest,41.5,4.0750000000000002,47,47
Adventure Series,48,3.98,34,34
Adventureland,47,3.1200000000000001,75,75
Adventures of Batman & Robin,35,4.1600000000000001,23,23
Adventures of Batman and Robin,47,3.4500000000000002,27,27
Adventures of Bayou Billy,29,3.4399999999999999,16,16
Adventures of Bond... Basildon Bond,39,4.3399999999999999,22,22
Adventures of Buckaroo Banzai Across the Eighth Dimension,32,3.7999999999999998,24,24
Adventures of Dino-Riki,33,4.2800000000000002,18,18
Adventures of Gilligan's Island,48,3.1600000000000001,25,25
Adventures of Lolo,34,4.4400000000000004,23,23
Adventures of Lolo 2,37,3.3799999999999999,21,21
Adventures of Lolo 3,41,3.0600000000000001,23,23
Adventures of Maddog Williams in the Dungeons of Duridian,42,4.1399999999999997,38,38
Adventures of Rad Gravity,43,3.1600000000000001,15,15
Adventures of Robbo,44,3.52,22,22
Adventures of Robin Hood,46,4.4100000000000001,25,25
Adventures of Shuggy,39,3.3399999999999999,25,25
Adventures of Star Saver,39,4.25,21,21
Adventures of Tom Sawyer,50,4,25,25
Adventures of Yogi Bear,38,4.1299999999999999,26,26
Aeon Flux,38,4.25,22,22
Aerial Assault,44,3.75,19,19
Aerial Combat ST,46,4.3799999999999999,19,19
Aeroboto,44,3.4900000000000002,17,17
AeroGauge,31,3.3399999999999999,22,22
AFL Live,53,3.04,22,22
AFL Live 2003,37,3.6000000000000001,44,44
AFL Live 2004,41,4.6500000000000004,32,32
AFL Live Premiership Edition,48,3.6600000000000001,44,44
African Raiders-01,48,3.48,44,44
African Trail Simulator,46,4.1200000000000001,60,60
AFRO SAMURAI,55,3.4399999999999999,23,23
After Burner,47,3.75,154,154
After Burner Climax,43,3.1000000000000001,21,21
After Burner II,45,3.5,100,100
After Burner III,39,3.4199999999999999,23,23
After Burner: Black Falcon,33,4.6900000000000004,23,23
After the War,47,2.3700000000000001,75,75
Afterburner II,44,4.2300000000000004,22,22
Afteroids,34,3.3399999999999999,69,69
Age of Booty,41,3,21,21
Age of Empires® III: Complete Collection,53,2.27,28,28
Age Of Heroes - Silkroad 2,65,2.7999999999999998,17,17
Agent Orange,49,3.1800000000000002,22,22
Agent USA,41,4.7699999999999996,78,78
Agent X,41,3.9100000000000001,41,41
Agent X 2: The Mad Prof's Back,43,3.54,19,19
Agent X II: The Mad Prof's Back!,45,3.1899999999999999,45,45
Aggressive Inline,51,3.79,23,23
Aggressors of Dark Kombat,44,3.1600000000000001,24,24
Aggressors of Dark Kombat / Tsuukai GANGAN Koushinkyoku,53,3.6000000000000001,24,24
Agony,57,3.3399999999999999,16,16
Agress,40,3.46,25,25
Ah Diddums,30,4.3799999999999999,48,48
Ah Eikou no Koshien,39,4.3399999999999999,21,21
Ai Cho Aniki,42,3.6800000000000002,22,22
Air Attack,32,3.54,21,21
Air Battle,44,3,19,19
Air Boarder 64,45,3.71,24,24
Air Combat,45,3.4399999999999999,40,40
Air Combat 22,40,3.7000000000000002,18,18
Air Conflicts: Secret Wars,38.332999999999998,4.1970000000000001,44,44
Air Diver,47,4.2000000000000002,22,22
Air Duel,39,4.4699999999999998,23,23
Air Force Commander,47,4.1299999999999999,19,19
Air Force Delta,51,4.5300000000000002,23,23
Air Force Delta Storm,51,2.9199999999999999,46,46
Air Fortress,45,2.75,20,20
Air Gallet,43,3.3399999999999999,18,18
Air Hockey-e,54,4.7599999999999998,23,23
Air Inferno,27,3.96,21,21
Air Race,42,3.3399999999999999,17,17
Air Raid,44,3.46,46,46
Air Raiders,40,3.3399999999999999,21,21
Air Rescue,39,4.2400000000000002,23,23
Air Rescue I,50,3.6000000000000001,23,23
Air Sea Battle,51,3.3399999999999999,20,20
Air Strike,46,4.2000000000000002,22,22
Air to Air Combat,45,3.96,18,18
Air Trix,39,4.6600000000000001,22,22
Air Zonk,39,4.2300000000000004,18,18
Airball,26,4.5700000000000003,40,40
Airborne Ranger,42,3.5499999999999998,84,84
AirCars,34,4.1399999999999997,20,20
Airheart,34,3.9300000000000002,22,22
Airline Pilots,52,4.5,19,19
Airline Pilots Deluxe,49,4.2800000000000002,20,20
Aironauts,36,4.1299999999999999,21,21
Airs Adventure,38,4.6200000000000001,21,21
Airstrike,42,3.98,18,18
Airstrike USA,52,3.27,36,36
Airwolf,40,3.7999999999999998,100,100
Ajax,42,2.5,21,21
Akagawa Jirou no Yuurei Ressha,49,4.4100000000000001,15,15
Akai Katana,39,3.6000000000000001,21,21
Akanbe Dragon,44,3.9700000000000002,23,23
Akazukin Chacha,35,3.3399999999999999,23,23
Akira,40.5,3.7999999999999998,39,39
Akkanbeder,38,3.5699999999999998,17,17
Akuji: The Heartless,44,3.0800000000000001,16,16
Akumajo Dracula Mokushi Hashumi: Real Action Adventure,48,3.8100000000000001,20,20
Akumajo Dracula X: Chi no Rondo,39,3.9199999999999999,14,14
Akumajo Dracula X: Gekka no Yasoukyoku,41,3.4100000000000001,24,24
Akumajo Special: Boku Dracula-kun,33,3.5,21,21
Akumajou Dracula,33,4.2800000000000002,24,24
Akumajou Dracula Mokushiroku Gaiden: Legend of Cornell,51,3.8399999999999999,23,23
Akumajou Dracula XX,30,4.0999999999999996,26,26
Akuma-kun: Makai no Wana,36,3.9100000000000001,16,16
Akuu Gallet,49,4.2800000000000002,22,22
Al Unser Jr. Turbo Racing,40,4.3200000000000003,23,23
Alan Wake,41,3.75,46,46
Alaskan Adventures,32,3.8399999999999999,14,14
Alaskan Storm,33,3.8199999999999998,17,17
Albatross,48,4.6200000000000001,20,20
Alcatraz,54,4.0300000000000002,42,42
Alcazar: The Forgotten Fortress,40.5,4.1550000000000002,70,70
Alchemist,47,2.9199999999999999,17,17
Aldynes,54,3.48,22,22
Ale Hop,46,3.8599999999999999,19,19
Aleste 2,36,3.1600000000000001,19,19
Aleste Gaiden,38,3.6000000000000001,20,20
Alex Ferguson's Player Manager 2001,32,4.21,21,21
Alex Kidd in Miracle World,37,3.6400000000000001,24,24
Alex Kidd in Shinobi World,52,4,25,25
Alex Kidd in the Enchanted Castle,43,3.4399999999999999,22,22
Alex Kidd: BMX Trial,44,4,17,17
Alex Kidd: High-Tech World,47,3.6000000000000001,26,26
Alex Kidd: The Lost Stars,34,3.54,15,15
ALF,38,3.4199999999999999,24,24
ALF: The First Adventure,52,4.1600000000000001,69,69
Alfred Challenge,50,3.3999999999999999,27,27
Alfred Chicken,47,3.5699999999999998,69,69
Ali Baba and the Forty Thieves,56,4.2800000000000002,34,34
Alias,46,3.7999999999999998,40,40
Alibaba and 40 Thieves,42,4.1299999999999999,26,26
Alice in Wonderland,42,3.9700000000000002,39,39
Alice: Madness Returns,47,3.96,25,25
Alien,45,3.2400000000000002,94,94
Alien 3,45,4.7000000000000002,17,17
Alien 8,46,4.2000000000000002,69,69
Alien Ambush,44,4.3200000000000003,20,20
Alien Breed,58,4.04,18,18
Alien Breed (Special Edition 92),36,3.7000000000000002,20,20
Alien Breed 2: Assault,42,4.3200000000000003,14,14
Alien Breed 3: Descent,37,3.1499999999999999,46,46
Alien Breed 3D,31,3.6000000000000001,23,23
Alien Breed 3D II: The Killing Grounds,29,4.4199999999999999,17,17
Alien Breed Episode 1,38,3.9399999999999999,15,15
Alien Breed II: The Horror Continues,36,3.8900000000000001,21,21
Alien Breed Trilogy,39,3.6000000000000001,25,25
Alien Breed: Impact,45,2.96,26,26
Alien Breed: Tower Assault,38,3.8199999999999998,22,22
Alien Brigade,42,3.3399999999999999,21,21
Alien Challenge,48,3.48,17,17
Alien Fires: 2199 AD,54,3.5299999999999998,46,46
Alien Front Online,39,3.3399999999999999,24,24
Alien Hallway,55,3.6800000000000002,24,24
Alien Highway: Encounter 2,30,4.4100000000000001,25,25
Alien Hominid,40,4.6900000000000004,66,66
Alien Hominid HD,62,3.1200000000000001,21,21
Alien Invaders - Plus,41,4.0999999999999996,22,22
Alien Invasion,48,3.6000000000000001,42,42
Alien Invasion Part II,43,4.1600000000000001,21,21
Alien Olympics 2044 AD,44,3.75,22,22
Alien Resurrection,35,3.4900000000000002,23,23
Alien Sector,46,3.52,22,22
Alien Storm,47,3.6800000000000002,105,105
Alien Swarm,38,3.8399999999999999,24,24
Alien Syndrome,43,4.1299999999999999,164,164
Alien Trilogy,45,3.8199999999999998,44,44
Alien vs. Predator,39.75,3.827,32,32
Alien vs. Predator: The Last of His Clan,49,4.25,24,24
Alien Zombie Megadeath,46,3.6099999999999999,22,22
Alien³,38.5,3.7850000000000001,42,42
Alien3: The Gun,38,3.75,18,18
Alienators: Evolution Continues,38,3.3799999999999999,22,22
Aliens,39,3.73,65,65
Aliens Colonial Marines,40,3.2200000000000002,20,20
Aliens vs Predator,49,4.1600000000000001,20,20
Aliens vs. Predator: Extinction,50,3.1200000000000001,44,44
Aliens vs. Predator: Requiem,42,3.8700000000000001,22,22
Aliens: The Computer Game,36.5,3.5049999999999999,47,47
Alisia Dragoon,41,4.5300000000000002,25,25
All American Football,47,2.5,21,21
All Dogs Go to Heaven,37,3.7000000000000002,22,22
All Japan Pro Wrestling Featuring Virtua,48,3.25,17,17
All Pro Football 2K8,34,4.04,19,19
All Star Tennis '99,39,3.8900000000000001,28,28
All-American Championship Football,31,3.5699999999999998,19,19
Allan Border's Cricket,47,3.2200000000000002,46,46
Alley Cat,45,3.6800000000000002,24,24
Alley Master,48,4.1399999999999997,19,19
Alley Oops,54,3.5699999999999998,13,13
Alleykat,33,4.4199999999999999,18,18
Alleyway,49,4.1600000000000001,24,24
Allia Quest,48,4.2800000000000002,21,21
Alligator Hunt,32,4.1600000000000001,23,23
All-Star Baseball 2000,46,4,22,22
All-Star Baseball 2001,49,4.5,22,22
All-Star Baseball 2002,41,3.6400000000000001,44,44
All-Star Baseball 2003,34,3.3399999999999999,66,66
All-Star Baseball 2004,43,3.8100000000000001,66,66
All-Star Baseball 2005,35,4.2599999999999998,38,38
All-Star Baseball '99,41,3.8399999999999999,21,21
Alone In The Dark,39.332999999999998,3.887,38,38
Alone in the Dark 2,41,3.48,42,42
Alone in the Dark: Jack is Back,44,3.46,19,19
Alone In the Dark: One-Eyed Jack's Revenge,35,3.96,22,22
Alone in the Dark: The New Nightmare,37,4.2000000000000002,69,69
Alpha Beam with Ernie,48,2.3399999999999999,24,24
Alpha Mission,61,3.46,42,42
Alpha Mission II,43,3.6099999999999999,22,22
Alpha Mission II / ASO II - Last Guardian,45,3,22,22
Alpha One,34,3.5699999999999998,23,23
Alpha Protocol,41,4.04,23,23
Alphabet Zoo,51,3.8399999999999999,96,96
Alpine Racer,47,4.54,20,20
Alpine Racer 2,36,2.6200000000000001,21,21
Alpine Ski,43,4.4199999999999999,18,18
Alpine Skiiing,46,3.46,21,21
Alpine Surfer,41,3.9300000000000002,19,19
Alpiner,43,3.79,25,25
Alshark,43,4.0300000000000002,44,44
Altair,46,3.3399999999999999,34,34
Altered Beast,41.5,3.77,255,255
Altered Destiny,48,3.7000000000000002,23,23
Altered Space: A 3-D Alien Adventure,52,2.8199999999999998,22,22
Alternate Reality: The City,45,3.5699999999999998,23,23
Alternativa,43,3.4100000000000001,22,22
Altitude,51,3.75,21,21
Alundra,39,4.4699999999999998,21,21
Alundra 2,35,3.9300000000000002,19,19
Alvin and The Chipmunks: Chipwrecked,48,3.46,21,21
Amagon,54,2.25,24,24
Amatic Unknown Slots Game,60,3.96,14,14
Amaurote,39,3.96,115,115
Amazing Island,40,4.1600000000000001,24,24
Amazing Maze,45,3.7200000000000002,26,26
Amazing Snake (Beta 4),41,4.1600000000000001,15,15
Amazing Snake (Beta 5),37,4.0300000000000002,23,23
Amazing Snake (Beta X),44,5,17,17
Amazing Spider-Man,47,3.4199999999999999,34,34
Amazing Spider-Man vs. The Kingpin,49,3.3799999999999999,22,22
Amazing Spider-man: Dr. Doom's Revenge,37,3.0600000000000001,24,24
Amazing Spider-Man: Web of Fire,35,3.6000000000000001,24,24
Amazon,47,4,84,84
Ambermoon,40,3.4399999999999999,24,24
Amberstar,48,3.3999999999999999,42,42
Ambush,47,4,20,20
Amegas,38,3.7000000000000002,26,26
Amelie Minuit,48,3.2599999999999998,23,23
America Daitouryou Senkyo,42,4.1600000000000001,19,19
American Challenge: A Sailing Simulation,47,3.9100000000000001,16,16
American Chopper,29,3.6800000000000002,46,46
American Chopper 2: Full Throttle,46,3.8500000000000001,63,63
American Conquest,42,3.6400000000000001,17,17
American Conquest: Fight Back,36,4,18,18
American Dragon: Jake Long - Rise of the Huntsclan,32,4.1399999999999997,23,23
American Dream,50,4.0700000000000003,23,23
American Football,42,4.0499999999999998,36,36
American Gladiators,46,3.5750000000000002,78,78
American Horseshoes,36,4.4000000000000004,21,21
American Idol,43,3.3399999999999999,46,46
American McGee presents SCRAPLAND,45,4.0700000000000003,18,18
American Poker 95,47,4.4699999999999998,18,18
American Poker II,30,4.6500000000000004,23,23
American Speedway,41,3,21,21
American Tag Team Wrestling,48,3.9100000000000001,38,38
American Tag-Team Wrestling,41,4.0499999999999998,19,19
